ice_cream,scoops,toppings,day,shared
strawberry,3,2,Mon,Y
chocolate,1,3,Wed,N
chocolate,1,3,Fri,N
strawberry,3,2,Thur,Y
mexican vanilla,2,1,Sat,Y
strawberry,1,3,Tues,Y
pistachio,3,2,Fri,N
strawberry,2,3,Fri,Y
cotton candy,1,2,Wed,N
chocolate,3,1,Wed,Y
mexican vanilla,1,2,Thur,Y
cotton candy,4,2,Sun,Y
chocolate,1,2,Tues,N
cotton candy,3,4,Sat,N
chocolate,3,4,Sat,Y
mexican vanilla,2,3,Thur,Y
strawberry,2,5,Mon,Y
pistachio,1,2,Fri,N
chocolate,3,1,Thur,Y
mexican vanilla,1,4,Fri,N
chocolate,3,2,Wed,N
mexican vanilla,2,5,Fri,N
chocolate,2,2,Sat,Y
chocolate,1,2,Sat,Y
cotton candy,4,3,Tues,N
strawberry,2,4,Sun,Y
mexican vanilla,1,2,Wed,Y
pistachio,3,1,Sat,N
chocolate,2,2,Sun,N
