,start_location_lat,start_location_long,created_date,period,time_of_day
8719,30.27497,-97.7155,2016-07-04 00:01:34,0,0 days 00:01:34.000000000
8720,30.265212,-97.735755,2016-07-04 00:03:55,0,0 days 00:03:55.000000000
8721,30.317432,-97.746665,2016-07-04 00:04:03,0,0 days 00:04:03.000000000
8722,30.326067,-97.747404,2016-07-04 00:06:40,0,0 days 00:06:40.000000000
8723,30.25669,-97.739778,2016-07-04 00:07:34,0,0 days 00:07:34.000000000
8724,30.347876,-97.753814,2016-07-04 00:07:39,0,0 days 00:07:39.000000000
8725,30.246479,-97.756793,2016-07-04 00:08:39,0,0 days 00:08:39.000000000
8726,30.257252,-97.725458,2016-07-04 00:10:44,0,0 days 00:10:44.000000000
8727,30.235276,-97.71486,2016-07-04 00:12:32,0,0 days 00:12:32.000000000
8728,30.269168,-97.74239,2016-07-04 00:13:25,0,0 days 00:13:25.000000000
8729,30.250297,-97.749249,2016-07-04 00:13:38,0,0 days 00:13:38.000000000
8730,30.245436,-97.768961,2016-07-04 00:20:13,0,0 days 00:20:13.000000000
8731,30.272472,-97.760178,2016-07-04 00:21:27,0,0 days 00:21:27.000000000
8732,30.269227,-97.751645,2016-07-04 00:21:41,0,0 days 00:21:41.000000000
8733,30.289478,-97.747443,2016-07-04 00:21:43,0,0 days 00:21:43.000000000
8734,30.297089,-97.783773,2016-07-04 00:24:44,0,0 days 00:24:44.000000000
8735,30.253535,-97.737454,2016-07-04 00:26:12,0,0 days 00:26:12.000000000
8736,30.286651,-97.760672,2016-07-04 00:26:19,0,0 days 00:26:19.000000000
8737,30.279201,-97.759327,2016-07-04 00:26:52,0,0 days 00:26:52.000000000
8738,30.260489,-97.74667,2016-07-04 00:27:27,0,0 days 00:27:27.000000000
8739,30.29203,-97.726904,2016-07-04 00:28:52,0,0 days 00:28:52.000000000
8740,30.233164,-97.780663,2016-07-04 00:30:58,0,0 days 00:30:58.000000000
8741,30.230663,-97.714138,2016-07-04 00:32:09,1,0 days 00:32:09.000000000
8742,30.288202,-97.74332,2016-07-04 00:38:16,1,0 days 00:38:16.000000000
8743,30.291536,-97.723597,2016-07-04 00:40:09,1,0 days 00:40:09.000000000
8744,30.325636,-97.749611,2016-07-04 00:41:01,1,0 days 00:41:01.000000000
8745,30.264692,-97.741521,2016-07-04 00:41:34,1,0 days 00:41:34.000000000
8746,30.27884,-97.769826,2016-07-04 00:45:06,1,0 days 00:45:06.000000000
8747,30.228859,-97.766796,2016-07-04 00:45:14,1,0 days 00:45:14.000000000
8749,30.257131,-97.759994,2016-07-04 00:45:38,1,0 days 00:45:38.000000000
8750,30.278862,-97.769951,2016-07-04 00:45:39,1,0 days 00:45:39.000000000
8751,30.254184,-97.748026,2016-07-04 00:47:24,1,0 days 00:47:24.000000000
8752,30.240598,-97.752086,2016-07-04 00:48:56,1,0 days 00:48:56.000000000
8753,30.288213,-97.743341,2016-07-04 00:48:58,1,0 days 00:48:58.000000000
8754,30.287561,-97.746343,2016-07-04 00:49:43,1,0 days 00:49:43.000000000
8755,30.287561,-97.746343,2016-07-04 00:50:31,1,0 days 00:50:31.000000000
8756,30.265452,-97.737908,2016-07-04 00:50:39,1,0 days 00:50:39.000000000
8757,30.257334,-97.75597,2016-07-04 00:51:32,1,0 days 00:51:32.000000000
8758,30.308789,-97.699331,2016-07-04 00:51:38,1,0 days 00:51:38.000000000
8759,30.272657,-97.757076,2016-07-04 00:55:05,1,0 days 00:55:05.000000000
8760,30.25196,-97.74794,2016-07-04 00:55:28,1,0 days 00:55:28.000000000
8761,30.287975,-97.743145,2016-07-04 00:58:07,1,0 days 00:58:07.000000000
8762,30.262047,-97.742401,2016-07-04 00:58:35,1,0 days 00:58:35.000000000
8763,30.272951,-97.757294,2016-07-04 01:01:33,2,0 days 01:01:33.000000000
8764,30.244666,-97.742134,2016-07-04 01:02:57,2,0 days 01:02:57.000000000
8765,30.267117,-97.744222,2016-07-04 01:03:35,2,0 days 01:03:35.000000000
8766,30.254147,-97.747667,2016-07-04 01:03:39,2,0 days 01:03:39.000000000
8767,30.262104,-97.74235,2016-07-04 01:04:48,2,0 days 01:04:48.000000000
8768,30.245177,-97.768695,2016-07-04 01:06:34,2,0 days 01:06:34.000000000
8769,30.336701,-97.720213,2016-07-04 01:07:57,2,0 days 01:07:57.000000000
8770,30.336804,-97.720154,2016-07-04 01:08:48,2,0 days 01:08:48.000000000
8771,30.263574,-97.738141,2016-07-04 01:09:40,2,0 days 01:09:40.000000000
8772,30.273812,-97.730444,2016-07-04 01:09:48,2,0 days 01:09:48.000000000
8773,30.268529,-97.788787,2016-07-04 01:13:35,2,0 days 01:13:35.000000000
8774,30.263666,-97.727448,2016-07-04 01:17:11,2,0 days 01:17:11.000000000
8775,30.242765,-97.780542,2016-07-04 01:20:49,2,0 days 01:20:49.000000000
8776,30.256175,-97.791278,2016-07-04 01:22:26,2,0 days 01:22:26.000000000
8777,30.260032,-97.737821,2016-07-04 01:22:54,2,0 days 01:22:54.000000000
8778,30.261049,-97.766465,2016-07-04 01:23:08,2,0 days 01:23:08.000000000
8779,30.255851,-97.739573,2016-07-04 01:24:32,2,0 days 01:24:32.000000000
8780,30.253389,-97.731788,2016-07-04 01:28:11,2,0 days 01:28:11.000000000
8781,30.314588,-97.736128,2016-07-04 01:28:31,2,0 days 01:28:31.000000000
8782,30.26643,-97.740337,2016-07-04 01:28:59,2,0 days 01:28:59.000000000
8783,30.290311,-97.760115,2016-07-04 01:32:17,3,0 days 01:32:17.000000000
8784,30.280587,-97.75848,2016-07-04 01:33:03,3,0 days 01:33:03.000000000
8785,30.260492,-97.78608,2016-07-04 01:35:19,3,0 days 01:35:19.000000000
8786,30.260209,-97.738295,2016-07-04 01:35:35,3,0 days 01:35:35.000000000
8787,30.268982,-97.740335,2016-07-04 01:36:34,3,0 days 01:36:34.000000000
8788,30.355681,-97.738062,2016-07-04 01:40:17,3,0 days 01:40:17.000000000
8789,30.254672,-97.762051,2016-07-04 01:40:41,3,0 days 01:40:41.000000000
8790,30.273054,-97.729363,2016-07-04 01:42:20,3,0 days 01:42:20.000000000
8791,30.261785,-97.769717,2016-07-04 01:43:13,3,0 days 01:43:13.000000000
